file_id	file_name	file_size	case_id	sample_id
744a6d3d-b666-49aa-8d26-47f34e3d1eb5	94027f46-390c-4dda-ab89-cb1ac0a291cd.rna_seq.augmented_star_gene_counts.tsv	4231952	878f975b-94fd-4d69-b7e7-1ed3ac2ee438	9321161b-d568-4d38-aed3-956786a06329
4ecc1f1a-8ff4-4552-a5e8-7a9652b6d1d5	df45fb41-4511-4dab-b865-fcdfcda0400a.rna_seq.augmented_star_gene_counts.tsv	4238832	e4fc0909-f284-4471-866d-d8967b6adcbc	58bfe278-a80f-4722-b286-4d966214d244
1ace2a0c-773d-45b5-8fd6-968c88731bbb	c33ecc28-d5ba-4416-b93d-445b7883b6e8.rna_seq.augmented_star_gene_counts.tsv	4239626	e5aae05a-478e-4a55-a27c-12b2b4be302a	1d8f72b7-8596-40e8-afdf-244dd897758c
2d5b0962-b5c4-4482-9f28-47e4dcdb6df6	602e3d24-a45d-4fe4-9b70-a679d93f470d.rna_seq.augmented_star_gene_counts.tsv	4221019	16fc3677-0393-4ed1-ad3f-c8355f056369	a31dec9b-3626-4cb0-8265-1425d5ce1c1e
84cff855-d17a-4c09-b432-53893ae69c1e	03d891b3-8faf-4384-94ce-2015f1ca5df0.rna_seq.augmented_star_gene_counts.tsv	4217372	33fe5833-d7a0-43d7-a03d-56985ea448a6	2a679581-38ad-4742-8d7b-89015df11e7d
c2515ef2-5cfc-4cc2-9541-ae072616d361	f8ff90c6-3554-4e19-ae56-18f30f51f9b5.rna_seq.augmented_star_gene_counts.tsv	4242493	d0b78f3f-a198-437a-ab8c-204345d3b75d	f5675b71-ed1b-4fdb-be07-d627dc98ed88
61647238-a8c4-4156-af15-c32947983cfd	4c6cb929-293d-452e-b7f8-d535b48cf073.rna_seq.augmented_star_gene_counts.tsv	4235393	566792ae-f853-4a47-856d-f02cdcfcb18a	0d2e50fa-daef-45a3-97b2-5d71ab03cfbf
488399aa-ef3c-42d7-817f-9db11b9902dd	a8e0466b-d106-44b7-b846-c4fb666715f5.rna_seq.augmented_star_gene_counts.tsv	4245845	b7a4df9a-4e25-4550-9c10-338ca1921c2f	ea78a749-5aee-44e6-9592-b2e20eeb7ff9
3d0b3b80-92ae-44dc-89fc-2ead925b81a2	eb44c266-8b8f-4012-ad67-f4ac40698391.rna_seq.augmented_star_gene_counts.tsv	4237555	b9c6c069-2a2b-4cc7-a398-dc45c132d979	c32e8a89-bc6b-4e8a-8719-4509412b5729
5cce30f3-99ae-4959-987a-0d280dc2ec44	2dd0b954-db3e-402d-9c06-6160e199dedb.rna_seq.augmented_star_gene_counts.tsv	4250095	28e9048a-e540-42de-a1f4-4ef894fccc4c	9ff22b6b-ec23-41f5-a887-a59da1639858
ddeb1445-08ae-441c-9f2a-4647df1b4ed6	5cc4350c-416e-4f2c-be73-12af68ad1ee4.rna_seq.augmented_star_gene_counts.tsv	4253052	332148f5-f070-4c20-8eb1-4d8c0673aa52	4fbe5e67-d18a-48d5-bd88-19a2f4c01c8d
5c0579f7-6184-4afa-805c-7aeec4a4c5d2	7c9a2493-5667-48ec-8998-81e13722b4ab.rna_seq.augmented_star_gene_counts.tsv	4225986	9435447e-d65f-408b-863b-6576b1d652dd	06b3e3ca-24b9-4e19-9e59-b51cc6d6735b
9c00a43c-1da0-4e3b-b7e2-54a48d29ecae	c2e73efe-8112-48fc-9dbd-29b4b5b89ad0.rna_seq.augmented_star_gene_counts.tsv	4244229	0dc337fa-da8b-42c4-b9a7-fb76d81c161f	62d2a36e-feb1-4084-8111-7ea38a4e3049
6ce774a5-2636-4a01-ab6e-737f89a4bd4f	28f1b708-bd3c-4ae7-935f-3282f75304a7.rna_seq.augmented_star_gene_counts.tsv	4238621	752f4773-5a12-4485-a1f6-896e148ddf4d	bdc13064-e554-4a1e-9037-03187bcb3507
fed0a382-2eee-4acc-af00-53a9fdcd2a61	2c1b1cbb-6e9f-4416-8faa-abb31d6b4e0e.rna_seq.augmented_star_gene_counts.tsv	4245343	2b19a6b4-7a17-4452-b4aa-6fc18adc0c3c	e5053de2-2a3b-4559-a166-35df5386d644
80d565a0-59f6-409e-8850-5d4e2b5b996d	9da89066-8d82-4ace-80e1-889d3c73c8eb.rna_seq.augmented_star_gene_counts.tsv	4248823	1dafdd64-527d-4d46-bbdf-7a97774f881b	a6b12e25-7b2d-460c-876f-02a75a82d7d2
263123b0-ec68-47cd-96dd-4f0795503d89	fb49b14e-d40f-4270-98b3-458ce60f2cde.rna_seq.augmented_star_gene_counts.tsv	4253418	1402082d-25c9-4148-8a1e-f58450b706bb	6b1c8010-d4fe-40e7-8e09-7a7dbdde6616
f205f47f-bd57-42bf-a702-4a17d4391411	3f32cdec-5a60-4147-b313-7c9a9dfefc78.rna_seq.augmented_star_gene_counts.tsv	4249065	5a4b7098-1f6a-49e9-b364-29d6d34f5bd5	74f23f3b-989c-441b-8715-505378d175e3
0e0df72c-33c0-4e4f-939c-a4d45a6e1ea3	36125e17-48fd-4eea-874c-ed2e2e218402.rna_seq.augmented_star_gene_counts.tsv	4238809	0045349c-69d9-4306-a403-c9c1fa836644	f66358d4-9319-4c23-983d-ab5056daacf1
